iter	RMSE
0	13.03043087
1	11.99961573
2	11.05786518
3	10.24055422
4	9.44001147
5	8.791240247
6	8.145745417
7	7.622401997
8	7.085352603
9	6.57793247
10	6.103116588
11	5.750936988
12	5.373404622
13	5.024787597
14	4.735368349
15	4.454349384
16	4.206305977
17	3.995765642
18	3.782941234
19	3.578482985
20	3.425507204
21	3.282431196
22	3.1369623
23	3.011094618
24	2.891316341
25	2.786115117
26	2.690388579
27	2.611766177
28	2.533378626
29	2.468083338
30	2.404490367
31	2.344940399
32	2.301333321
33	2.253334499
34	2.216869197
35	2.177119108
36	2.152510417
37	2.121564448
38	2.091219548
39	2.066886148
40	2.04761343
41	2.024208862
42	2.002734278
43	1.98740707
44	1.973063072
45	1.958034031
46	1.943107538
47	1.931767391
48	1.918500689
49	1.908573881
50	1.898065475
51	1.890486496
52	1.880374258
53	1.873676497
54	1.869068488
55	1.8634482
56	1.856112112
57	1.849853977
58	1.841152771
59	1.833838676
60	1.82807478
61	1.822337961
62	1.815411507
63	1.808082231
64	1.798620135
65	1.794290621
66	1.789981125
67	1.784013872
68	1.781005985
69	1.776978453
70	1.769915037
71	1.763967629
72	1.758837199
73	1.755850457
74	1.751371491
75	1.747781609
76	1.741825306
77	1.735329568
78	1.733149379
79	1.729042991
80	1.726170336
81	1.722793365
82	1.716916529
83	1.713403965
84	1.708566368
85	1.703209254
86	1.696968174
87	1.689600538
88	1.683226404
89	1.680762663
90	1.676731844
91	1.674333588
92	1.671357466
93	1.66846553
94	1.662879802
95	1.661123011
96	1.658726259
97	1.655716671
98	1.653296562
99	1.646192457
